vehiculo_specs_key,ejes,llantas,largo_m,ancho_m,alto_m
803,3,10,10.2,2.6,3.85
804,3,10,9.9,2.6,3.6
805,3,,11.08,2.6,4.1
806,3,10,9.2,2.57,3.5
807,4,12,9.0,2.6,4.0
808,4,12,9.43,2.57,3.75
809,4,12,8.4,2.6,3.35
810,4,12,8.64,2.6,3.65
811,4,12,8.5,2.6,3.86
812,3,10,11.08,2.6,4.1
813,2,6,8.32,2.38,2.73
814,2,,8.33,2.38,2.67
815,2,6,8.53,2.4,2.68
816,3,10,9.9,2.43,3.4
817,3,10,8.05,2.6,3.66
818,3,10,9.37,2.6,3.48
819,3,10,10.05,2.6,3.75
820,4,12,8.67,2.6,3.65
821,3,10,10.691,2.558,2.829
822,3,10,9.98,2.6,3.7
823,2,6,8.95,2.55,3.5
824,3,10,11.5,2.6,3.05
825,2,6,8.33,2.38,3.0
826,2,,4.34,2.39,2.74
827,2,,5.7,2.66,3.75
828,3,10,8.36,2.6,3.15
829,3,10,10.0,2.6,3.7
830,2,,8.33,2.39,2.74
831,3,10,10.68,2.6,3.65
832,2,6,9.35,2.6,3.6
833,4,12,8.6,2.6,3.7
834,3,10,10.36,2.6,3.1
835,3,10,11.0,2.6,2.558
836,3,10,10.3,2.6,3.7
837,4,12,11.2,2.6,3.95
838,3,10,11.5,2.6,2.829
839,3,10,11.0,2.6,2.8
840,2,6,6.3,2.38,2.4
841,2,6,9.24,2.57,3.41
842,2,6,8.33,2.38,2.74
843,4,12,11.0,2.6,3.6
844,4,12,11.3,2.6,3.75
845,4,12,10.8,2.6,4.2
846,3,10,10.91,2.6,3.658
847,2,,9.0,2.4,2.67
848,4,12,8.56,2.6,3.7
849,3,10,11.0,2.6,3.5
850,3,10,8.7,2.6,3.7
851,3,10,8.5,2.6,3.5
852,3,10,11.35,2.6,3.5
853,2,6,8.33,2.55,2.74
854,3,10,10.9,2.6,4.1
855,2,6,7.5,2.5,3.1
856,4,12,8.55,2.6,3.7
857,2,6,7.2,2.35,3.05
858,4,12,11.416,2.6,3.91
859,2,6,6.7,2.35,2.68
860,3,10,11.0,2.6,3.2
861,3,10,8.549,2.558,3.129
862,3,10,9.5,2.6,3.95
863,3,10,9.85,2.6,3.58
864,3,10,7.9,2.6,3.5
865,3,10,8.9,2.6,3.3
866,3,10,12.2,2.6,4.0
867,3,10,11.48,2.6,3.12
868,3,10,10.45,2.6,3.75
869,3,10,12.0,2.6,3.3
870,3,10,10.52,2.6,4.1
871,3,10,9.45,2.6,3.58
872,3,10,8.17,2.6,3.655
873,3,10,9.95,2.6,3.4
874,3,10,11.43,2.6,4.3
875,4,12,11.35,2.6,3.8
876,4,12,11.75,2.6,4.0
877,2,6,6.98,2.5,3.2
878,2,6,6.7,2.38,2.68
879,2,6,6.95,2.53,2.9
880,2,6,7.4,2.53,3.73
881,2,,7.15,2.4,2.8
882,2,6,6.95,2.4,2.8
883,2,6,7.24,2.4,2.8
884,4,12,11.45,2.6,3.3
885,2,6,8.1,2.4,3.4
886,2,,7.63,2.34,3.55
887,2,,7.7,2.6,2.84
888,2,,6.71,2.6,2.74
889,3,10,11.65,2.6,3.7
890,4,12,11.45,2.6,3.6
891,2,6,7.28,2.5,2.5
892,3,10,10.75,2.55,3.5
893,4,12,8.96,2.6,3.6
894,4,12,10.395,2.6,4.1
895,3,,9.4,2.6,3.2
896,4,12,9.45,2.6,4.1
897,4,12,9.66,2.6,4.0
898,2,6,9.1,2.6,3.55
899,4,12,9.35,2.6,3.4
900,3,10,7.8,2.6,2.9
901,4,12,10.5,2.5,3.5
902,4,12,10.6,2.6,3.8
903,4,12,11.635,2.6,4.115
904,4,12,11.3,2.6,4.1
905,2,,10.27,2.45,2.7
906,4,12,11.35,2.6,4.1
907,2,6,8.85,2.6,3.35
908,4,12,11.5,2.6,4.1
909,4,12,10.78,2.6,3.8
910,4,12,10.7,2.6,3.8
911,4,12,11.59,2.6,4.094
912,3,10,7.58,2.6,3.3
913,2,6,7.67,2.42,2.9
914,2,6,7.67,2.42,2.69
915,4,12,11.1,2.6,3.4
916,3,10,10.1,2.58,3.29
917,3,8,9.87,2.6,4.08
918,4,12,11.25,2.6,3.3
919,4,12,12.41,2.6,4.1
920,4,12,10.7,2.6,3.75
921,2,6,8.4,2.44,2.72
922,2,6,11.3,2.6,3.85
923,2,6,8.0,2.61,3.0
924,4,12,12.3,2.6,3.3
925,4,12,11.65,2.6,3.7
926,4,12,12.2,2.6,3.8
927,4,12,11.95,2.6,3.98
928,4,12,12.65,2.6,4.1
929,4,12,12.4,2.6,3.9
930,4,12,8.54,2.6,3.21
931,3,10,9.75,2.42,2.69
932,4,12,12.2,2.6,3.9
933,2,6,8.5,2.4,3.3
934,3,10,9.6,2.42,2.69
935,2,6,7.5,2.4,3.1
936,4,12,11.89,2.6,3.79
937,4,12,11.4,2.6,3.65
938,2,,7.67,2.42,2.6
939,2,,8.57,2.42,2.73
940,4,12,12.2,2.6,3.6
941,2,6,7.67,2.42,3.0
942,2,,7.67,2.42,2.69
943,4,12,11.9,2.55,3.9
944,4,12,12.2,2.6,4.0
945,4,12,12.95,2.6,4.1
946,4,12,12.3,2.6,3.8
947,4,12,12.2,2.6,4.1
948,4,12,12.2,2.6,3.95
949,3,10,11.95,2.6,4.1
950,3,10,11.04,2.6,4.17
951,4,12,10.18,2.6,3.4
952,4,12,13.1,2.6,4.1
953,3,10,9.84,2.6,3.6
954,3,10,9.6,2.6,3.75
955,2,6,9.15,2.42,3.8
956,3,10,7.7,2.6,3.8
957,3,10,9.25,2.6,3.75
958,2,6,7.32,2.42,2.69
959,3,10,9.85,2.57,3.14
960,3,10,9.84,2.6,3.78
961,3,10,9.84,2.55,3.8
962,4,12,10.6,2.6,3.55
963,3,10,10.7,2.51,3.68
964,3,10,9.84,2.6,3.65
965,3,10,11.3,2.6,3.95
966,3,10,9.9,2.5,3.2
967,2,6,8.82,2.6,3.3
968,3,10,9.84,2.57,3.75
969,3,10,9.4,2.6,3.95
970,2,,8.9,2.6,2.75
971,2,6,8.9,2.6,2.75
972,2,6,10.0,2.6,3.6
973,3,10,10.72,2.5,3.22
974,3,10,9.95,2.62,3.4
975,3,10,11.316,2.6,3.13
976,2,6,9.34,2.55,3.5
977,2,6,11.0,2.45,2.7
978,4,12,8.55,2.6,3.6
979,3,10,10.4,2.6,3.8
980,3,10,9.9,2.6,3.005
981,3,10,9.5,2.52,3.86
982,3,10,11.025,2.6,3.2
983,4,12,10.2,2.6,3.5
984,3,10,9.4,2.6,3.65
985,3,10,10.25,2.6,3.5
986,4,12,8.6,2.6,3.1
987,3,10,9.6,2.6,3.8
988,3,10,8.86,2.5,3.15
989,3,10,7.74,2.6,3.43
990,3,10,10.07,2.6,3.65
991,3,10,9.3,2.55,3.85
992,3,10,6.97,2.486,3.2
993,3,,8.35,2.6,3.4
994,3,10,11.7,2.6,3.85
995,3,10,10.89,2.6,4.1
996,3,10,7.67,2.42,2.69
997,2,6,7.67,2.42,2.67
998,3,10,10.1,2.55,3.7
999,3,10,9.9,2.5,3.0
1000,3,10,9.45,2.6,3.8
1001,3,10,10.3,2.6,3.4
1002,3,10,9.5,2.6,4.0
1003,3,10,9.84,2.47,3.6
1004,3,10,9.6,2.6,4.1
1005,2,6,9.7,2.6,3.6
1006,2,,6.7,2.35,2.7
1007,3,10,12.13,2.6,4.04
1008,2,,3.99,1.67,1.86
1009,4,12,8.6,2.5,3.5
1010,2,6,9.0,2.6,3.3
1011,3,10,9.0,2.5,3.6
1012,3,10,10.0,2.6,3.5
1013,3,10,10.08,2.44,3.58
1014,3,10,9.55,2.6,4.0
1015,3,10,9.44,2.6,3.85
1016,4,,10.4,2.6,3.45
1017,4,14,11.89,2.6,4.1
1018,3,10,9.97,2.6,3.511
1019,2,,8.5,2.5,2.4
1020,3,10,9.84,2.47,3.8
1021,2,,9.5,2.42,2.69
1022,3,10,9.4,2.6,3.5
1023,2,,8.7,2.5,2.7
1024,2,6,8.78,2.54,3.48
1025,4,12,12.2,2.6,3.84
1026,2,6,9.55,2.6,3.0
1027,3,10,9.7,2.6,4.0
1028,2,6,8.5,2.42,2.69
1029,2,6,8.9,2.6,3.5
1030,2,6,8.8,2.3,3.3
1031,3,10,7.55,2.5,3.25
1032,3,10,9.5,2.6,3.7
1033,3,10,8.8,2.47,3.7
1034,3,10,10.26,2.6,3.82
1035,2,6,8.0,2.5,2.1
1036,3,10,9.84,2.6,3.75
1037,3,10,8.58,2.5,2.8
1038,2,6,8.7,2.45,2.75
1039,3,10,10.7,2.6,3.5
1040,2,,4.0,1.67,1.86
1041,3,10,8.9,2.52,2.22
1042,4,12,8.795,2.6,3.655
1043,3,,8.5,2.5,3.3
1044,2,,6.8,2.4,3.1
1045,2,,7.8,2.52,2.7
1046,2,6,7.2,2.44,1.75
1047,2,,10.0,2.5,2.6
1048,2,6,10.8,2.5,2.69
1049,3,10,10.29,2.49,2.75
1050,3,10,10.3,2.5,2.8
1051,2,6,9.55,2.6,4.1
1052,2,6,10.2,2.6,4.0
1053,4,12,11.56,2.6,3.98
1054,3,10,9.2,2.6,4.1
1055,3,10,8.3,2.6,4.1
1056,2,6,8.35,2.5,3.05
1057,3,10,12.3,2.6,3.9
1058,3,10,10.3,2.5,2.75
1059,3,10,9.44,2.6,3.9
1060,3,,10.5,2.55,3.8
1061,3,10,11.9,2.63,3.25
1062,3,,10.6,2.6,2.8
1063,3,10,10.3,2.49,2.1
1064,3,10,9.6,2.5,3.2
1065,4,12,10.9,2.6,3.75
1066,3,10,10.7,2.49,3.1
1067,4,12,8.635,2.6,3.545
1068,4,14,12.8,2.6,3.7
1069,3,,10.6,2.5,3.4
1070,3,10,9.24,2.6,3.8
1071,4,12,11.24,2.6,3.7
1072,4,12,8.7,2.6,2.9
1073,4,12,8.6,2.6,3.55
1074,3,10,10.7,2.5,3.88
1075,4,12,8.48,2.5,2.9
1076,3,10,11.44,2.6,4.055
1077,4,12,10.244,2.57,3.696
1078,3,10,9.66,2.6,3.85
1079,3,10,10.3,2.5,3.88
1080,4,,9.9,2.6,3.3
1081,3,10,10.6,2.6,4.0
1082,4,12,9.84,2.6,3.9
1083,3,,8.2,2.4,3.2
1084,3,,8.7,2.4,2.8
1085,4,12,8.5,2.6,3.63
1086,3,10,7.85,2.5,3.1
1087,4,12,11.17,2.6,3.75
1088,3,10,9.84,2.5,4.1
1089,3,10,7.2,2.5,2.8
1090,2,6,7.12,2.3,3.0
1091,3,10,9.84,2.6,3.8
1092,3,10,10.7,2.6,4.1
1093,4,12,9.9,2.6,3.3
1094,3,10,9.85,2.6,3.385
1095,3,10,9.95,2.6,3.91
1096,3,10,10.7,2.6,3.65
1097,4,12,12.17,2.6,4.65
1098,2,6,6.0,2.3,3.0
1099,3,10,10.83,2.6,4.1
1100,2,6,10.3,2.5,3.5
1101,3,10,8.0,2.5,3.14
1102,3,10,7.65,2.45,2.9
1103,3,10,8.84,2.6,3.7
1104,3,10,9.65,2.6,3.78
1105,3,,8.3,2.5,3.4
1106,3,10,7.44,2.44,2.96
1107,2,6,8.07,2.55,3.7
1108,2,6,13.2,2.6,3.85
1109,3,8,15.0,2.6,3.45
1110,3,8,15.0,2.6,3.65
1111,2,6,8.5,2.6,3.3
1112,2,6,8.6,2.52,3.5
1113,2,,8.6,2.52,3.5
1114,2,6,8.6,2.6,3.5
1115,2,6,8.6,2.58,3.5
1116,4,12,10.5,2.6,3.9
1117,3,10,9.5,2.44,3.5
1118,2,6,8.2,2.5,2.4
1119,2,6,8.52,2.6,3.94
1120,2,6,9.4,2.5,3.62
1121,2,,8.38,2.42,2.56
1122,2,6,8.0,2.6,3.6
1123,3,10,9.5,2.55,3.8
1124,3,10,9.84,2.48,3.6
1125,4,12,8.59,2.6,3.61
1126,3,10,9.84,2.47,3.2
1127,3,10,9.0,2.6,3.0
1128,2,,9.28,2.6,3.48
1129,2,6,7.3,2.43,3.26
1130,2,6,6.9,2.6,3.78
1131,3,10,9.4,2.47,4.1
1132,2,6,8.4,2.45,3.15
1133,3,10,9.84,2.6,3.85
1134,3,10,9.84,2.5,3.6
1135,3,10,10.35,2.6,3.4
1136,3,10,8.1,2.6,3.3
1137,2,6,6.35,2.45,3.0
1138,2,6,7.9,2.6,3.17
1139,3,10,8.8,2.47,4.0
1140,3,10,9.95,2.6,3.96
1141,3,10,10.1,2.6,3.71
1142,3,10,9.78,2.6,4.0
1143,3,10,9.84,2.6,3.69
1144,2,6,7.0,2.42,3.27
1145,3,10,9.85,2.6,3.6
1146,2,6,6.6,2.42,3.42
1147,2,6,7.25,2.3,3.3
1148,2,,6.6,2.25,2.95
1149,2,6,6.5,2.21,2.41
1150,3,10,9.4,2.55,4.1
1151,3,10,10.7,2.6,3.8
1152,3,10,9.47,2.56,3.605
1153,4,,9.5,2.6,3.61
1154,4,,8.25,2.5,3.34
1155,2,,6.5,2.21,0.0
1156,2,6,7.2,2.5,3.0
1157,2,,6.5,2.2,2.41
1158,3,10,9.28,2.6,4.1
1159,2,6,6.9,2.2,2.4
1160,2,6,5.5,2.21,2.0
1161,2,6,6.5,2.21,2.0
1162,4,,9.95,2.6,4.1
1163,3,10,9.85,2.5,3.8
1164,3,,6.817,2.5,3.803
1165,3,10,10.31,2.6,3.044
1166,2,,6.5,2.21,2.1
1167,3,10,12.85,2.6,4.1
1168,3,10,10.55,2.6,3.95
1169,3,10,13.57,2.65,4.3
1170,2,6,7.1,2.4,3.1
1171,3,10,10.3,2.6,3.65
1172,2,6,6.5,2.2,2.0
1173,3,10,10.1,2.6,3.6
1174,3,10,11.9,2.6,4.1
1175,4,12,8.67,2.6,3.655
1176,2,6,4.36,2.21,2.2
1177,3,10,9.8,2.6,3.2
1178,3,10,11.2,2.6,3.67
1179,3,10,11.0,2.6,4.2
1180,2,6,5.43,2.21,2.5
1181,2,6,6.5,2.1,1.75
1182,4,12,10.8,2.6,4.05
1183,2,6,6.75,2.38,2.9
1184,2,6,7.0,2.25,2.9
1185,2,6,6.5,2.1,2.8
1186,2,6,7.0,2.3,3.0
1187,2,6,6.5,2.5,2.46
1188,4,,10.7,2.6,3.7
1189,3,10,9.9,2.6,3.8
1190,3,10,10.74,2.6,3.7
1191,3,,9.84,2.5,3.6
1192,4,12,8.55,2.6,3.53
1193,2,6,7.15,2.35,3.1
1194,4,12,8.65,2.6,3.66
1195,2,6,4.8,2.25,2.45
1196,2,6,7.3,2.51,2.54
1197,2,6,7.6,2.2,2.8
1198,3,10,10.09,2.6,3.442
1199,3,10,12.4,2.486,4.1
1200,3,10,11.8,2.6,2.8
1201,2,6,6.85,2.1,2.7
1202,3,10,9.4,2.47,3.3
1203,2,6,7.3,2.4,3.1
1204,2,,6.5,2.5,2.46
1205,2,6,7.1,2.5,3.0
1206,3,10,9.65,2.6,3.6
1207,2,6,7.18,2.27,3.0
1208,3,10,11.15,2.6,3.7
1209,3,10,10.9,2.6,3.85
1210,4,12,12.25,2.6,4.1
1211,3,10,9.724,2.6,3.557
1212,2,,6.5,2.5,2.4
1213,2,,7.0,2.2,2.94
1214,3,10,11.8,2.6,3.9
1215,3,10,9.88,2.58,3.83
1216,2,6,7.0,2.2,2.94
1217,2,,6.8,2.4,2.95
1218,2,6,7.95,2.25,2.48
1219,2,6,9.0,2.62,3.07
1220,2,6,6.5,2.21,3.0
1221,2,6,7.2,2.45,3.06
1222,2,6,6.8,2.35,3.0
1223,2,6,7.0,2.5,3.0
1224,3,10,9.25,2.6,4.1
1225,2,6,7.35,2.3,3.15
1226,2,6,7.4,2.35,3.7
1227,4,12,13.0,2.6,4.1
1228,3,10,10.88,2.6,3.765
1229,3,10,10.85,2.6,3.5
1230,2,,7.18,2.23,3.0
1231,3,10,9.8,2.5,3.6
1232,3,10,9.5,2.52,3.85
1233,2,6,7.18,2.23,3.0
1234,3,10,9.9,2.6,3.65
1235,2,6,6.9,2.2,3.2
1236,2,,4.35,2.22,1.8
1237,3,10,11.37,2.6,3.83
1238,2,6,6.7,2.26,3.1
1239,3,10,9.84,2.6,3.1
1240,3,10,9.2,2.5,3.65
1241,2,6,7.0,2.45,2.75
1242,2,6,7.4,2.5,3.6
1243,2,6,6.07,2.44,3.49
1244,3,10,10.0,2.6,3.9
1245,2,6,7.0,2.2,2.9
1246,2,6,7.36,2.4,3.26
1247,2,,6.5,2.21,2.46
1248,3,10,11.4,2.6,4.03
1249,2,6,7.2,2.4,2.8
1250,3,10,10.2,2.6,3.64
1251,3,10,10.3,2.6,3.9
1252,2,6,6.7,2.1,2.38
1253,3,10,10.73,2.6,3.8
1254,3,10,11.3,2.6,3.4
1255,3,10,10.38,2.6,3.61
1256,4,14,10.34,2.6,3.85
1257,2,6,6.5,2.21,3.15
1258,3,10,9.5,2.6,3.75
1259,2,6,6.9,2.38,3.0
1260,3,10,10.75,2.6,4.1
1261,2,6,10.0,2.6,3.5
1262,2,6,7.2,2.4,2.65
1263,2,6,7.31,2.3,3.02
1264,3,10,10.37,2.6,4.1
1265,2,6,7.3,2.24,3.1
1266,2,6,5.81,2.57,3.9
1267,2,6,5.43,2.21,0.0
1268,2,,5.81,2.57,3.9
1269,2,,6.08,2.35,2.83
1270,4,12,10.5,2.6,2.69
1271,2,6,7.18,2.3,3.0
1272,2,6,11.3,2.23,3.0
1273,2,6,7.18,2.23,2.7
1274,4,12,8.69,2.6,3.75
1275,3,10,10.2,2.55,2.6
1276,3,10,8.0,2.5,2.8
1277,3,10,8.3,2.6,3.955
1278,2,6,7.82,2.25,3.25
1279,2,6,7.18,2.23,2.4
1280,3,10,6.78,2.576,3.054
1281,3,10,8.6,2.57,3.95
1282,2,6,8.8,2.6,4.025
1283,3,10,10.85,2.6,4.0
1284,2,,8.65,2.5,3.2
1285,2,6,6.7,2.45,2.6
1286,3,10,6.81,2.57,3.08
1287,3,10,11.2,2.6,3.4
1288,2,6,7.0,2.3,3.05
1289,3,10,12.085,2.6,3.79
1290,2,6,7.18,2.35,3.0
1291,2,6,8.18,2.45,3.36
1292,2,6,7.1,2.35,3.2
1293,2,6,8.4,2.4,2.75
1294,2,6,6.2,2.4,3.0
1295,2,6,7.55,2.28,3.45
1296,2,6,6.5,2.21,2.08
1297,3,10,7.45,2.6,3.35
1298,3,10,11.15,2.6,3.8
1299,2,,7.15,2.2,3.15
1300,3,,6.81,2.57,3.08
1301,2,,6.5,2.21,2.0
1302,2,6,7.0,2.3,3.2
1303,2,6,7.5,2.3,2.9
1304,4,12,11.73,2.6,3.9
1305,3,10,6.81,2.44,3.51
1306,2,,6.5,2.21,2.25
1307,2,6,7.2,2.21,2.9
1308,2,6,6.54,2.21,3.25
1309,2,,6.78,2.21,3.18
1310,2,,7.35,2.21,2.46
1311,3,10,11.2,2.6,4.05
1312,3,10,7.5,2.57,3.45
1313,3,10,8.92,2.52,3.11
1314,2,6,6.5,2.2,3.0
1315,2,6,7.46,2.41,3.16
1316,3,10,7.3,2.6,3.7
1317,3,10,11.7,2.6,3.3
1318,3,10,8.4,2.6,4.1
1319,2,6,6.6,2.28,2.59
1320,2,6,6.0,2.5,3.2
1321,4,12,10.5,2.6,4.1
1322,2,6,7.15,2.35,3.25
1323,2,6,7.42,2.37,3.05
1324,2,6,7.17,2.42,3.19
1325,2,6,6.95,2.35,3.1
1326,2,6,7.07,2.39,3.3
1327,2,6,6.5,2.2,2.5
1328,2,,6.5,2.56,3.02
1329,2,6,7.39,2.35,2.98
1330,2,6,7.05,2.39,2.98
1331,2,6,7.3,2.6,3.0
1332,2,6,7.0,2.35,3.2
1333,2,6,7.5,2.4,3.35
1334,3,10,6.8,2.6,3.0
1335,4,12,11.8,2.6,3.7
1336,2,,6.7,2.3,2.29
1337,2,6,6.8,2.21,2.46
1338,2,6,6.8,2.35,3.3
1339,3,10,7.5,2.6,2.8
1340,2,6,7.0,2.35,3.25
1341,3,10,6.9,2.6,3.4
1342,2,6,7.0,2.36,3.05
1343,3,10,7.63,2.6,3.12
1344,2,6,6.43,2.6,3.05
1345,2,6,7.1,2.37,3.17
1346,3,10,7.5,2.6,3.7
1347,3,,7.5,2.5,3.52
1348,3,10,8.0,2.5,3.3
1349,3,10,7.48,2.5,3.51
1350,3,10,7.79,2.6,3.45
1351,3,10,13.01,2.6,4.08
1352,3,10,7.5,2.5,3.52
1353,3,10,10.45,2.6,3.7
1354,3,10,7.4,2.6,2.85
1355,3,10,7.0,2.6,2.85
1356,2,6,6.5,2.21,2.8
1357,3,10,7.45,2.6,3.52
1358,3,10,7.1,2.58,3.3
1359,3,10,6.95,2.6,3.5
1360,3,10,8.6,2.52,3.8
1361,3,10,8.21,2.6,3.44
1362,3,,9.3,2.5,3.35
1363,3,,10.5,2.6,3.85
1364,3,10,9.69,2.6,3.85
1365,2,6,6.5,2.25,2.0
1366,4,12,11.0,2.6,3.5
1367,3,10,8.19,2.6,3.9
1368,3,10,10.235,2.6,4.1
1369,3,10,10.3,2.6,3.6
1370,2,6,7.36,2.3,3.0
1371,2,,7.2,2.25,2.9
1372,3,10,10.8,2.6,3.45
1373,4,12,10.8,2.6,3.65
1374,2,6,9.04,2.47,3.19
1375,2,6,6.1,2.45,2.85
1376,2,6,8.1,2.6,3.6
1377,2,6,6.5,2.2,2.8
1378,2,6,7.23,2.2,3.15
1379,2,6,6.3,2.28,3.1
1380,2,6,7.6,2.41,3.3
1381,4,14,11.9,2.6,3.9
1382,2,6,7.0,2.35,2.8
1383,2,6,7.0,2.37,3.11
1384,3,10,12.0,2.6,3.9
1385,2,6,6.7,2.15,2.55
1386,3,10,10.25,2.6,3.66
1387,2,,7.0,2.42,3.27
1388,3,10,9.7,2.55,3.75
1389,2,6,9.4,2.5,3.1
1390,4,12,8.85,2.5,3.55
1391,3,10,10.8,2.6,3.1
1392,4,12,10.35,2.6,3.55
1393,3,10,10.49,2.6,3.675
1394,3,10,8.49,2.6,3.69
1395,3,10,10.925,2.6,4.05
1396,3,10,12.8,2.6,3.8
1397,3,10,10.68,2.6,4.0
1398,2,6,6.7,2.2,2.8
1399,2,6,7.0,2.34,2.8
1400,2,6,8.59,2.6,3.3
1401,3,10,9.3,2.6,4.1
1402,2,6,7.0,2.44,3.1
1403,2,6,7.62,2.42,2.97
1404,2,6,8.85,2.5,3.1
1405,3,10,10.75,2.55,3.55
1406,2,6,9.05,2.6,3.15
1407,3,10,9.45,2.6,3.55
1408,3,10,9.8,2.6,3.8
1409,3,6,6.817,2.5,3.948
1410,2,,9.6,2.6,3.6
1411,2,6,7.0,2.36,3.1
1412,2,6,6.44,2.21,2.85
1413,3,10,10.7,2.6,3.6
1414,3,10,10.9,2.6,3.9
1415,2,6,7.6,2.45,3.25
1416,4,12,10.5,2.6,3.55
1417,3,10,10.29,2.6,3.9
1418,2,6,7.2,2.4,3.0
1419,2,6,7.1,2.33,3.1
1420,2,6,6.44,2.21,2.2
1421,2,6,6.5,2.21,2.47
1422,2,6,6.6,2.3,2.97
1423,2,6,6.44,2.21,2.46
1424,2,6,6.44,2.21,2.28
1425,2,6,7.35,2.31,3.21
1426,4,12,10.69,2.6,3.5
1427,3,10,10.6,2.6,3.9
1428,3,10,9.5,2.6,3.65
1429,3,10,10.8,2.6,3.5
1430,3,10,10.35,2.6,3.7
1431,2,6,7.05,2.32,3.35
1432,2,6,7.35,2.6,4.35
1433,2,6,6.47,2.21,2.46
1434,2,6,6.75,2.25,3.0
1435,2,6,6.44,2.21,2.47
1436,3,10,10.745,2.6,3.97
1437,2,6,7.35,2.35,3.37
1438,2,6,7.9,2.45,2.9
1439,2,6,7.6,2.21,3.1
1440,2,6,6.44,2.1,3.0
1441,2,6,7.25,2.3,3.1
1442,2,6,6.5,2.56,2.5
1443,2,6,6.8,2.5,2.85
1444,2,,7.1,2.35,3.1
1445,4,14,11.8,2.6,3.5
1446,4,14,11.9,2.6,3.65
1447,4,12,8.0,2.6,3.45
1448,4,12,8.5,2.5,3.4
1449,4,12,11.3,2.6,3.58
1450,4,12,11.7,2.6,3.8
1451,2,6,6.5,2.56,2.47
1452,3,,9.9,2.6,3.6
1453,4,12,12.6,2.6,4.1
1454,2,6,6.44,2.21,3.04
1455,2,6,6.44,2.6,3.04
1456,2,6,9.4,2.2,3.1
1457,2,,7.13,2.4,3.31
1458,4,12,8.67,2.6,3.73
1459,4,12,11.5,2.6,3.7
1460,3,10,8.9,2.6,4.05
1461,3,10,9.14,2.6,4.0
1462,3,10,8.9,2.6,3.98
1463,3,10,10.66,2.5,4.1
1464,3,10,10.4,2.6,3.55
1465,3,10,8.8,2.6,3.8
1466,2,6,6.13,2.2,3.2
1467,2,6,7.4,2.4,3.35
1468,2,6,6.4,2.37,3.4
1469,2,6,8.7,2.46,3.95
1470,2,6,7.1,2.42,3.3
1471,2,6,7.4,2.42,3.33
1472,2,6,6.77,2.42,3.36
1473,4,,8.67,2.6,3.655
1474,2,6,6.05,2.486,2.747
1475,4,12,11.0,2.6,3.8
1476,2,6,8.5,2.32,2.75
1477,2,6,7.0,2.5,3.1
1478,2,6,7.55,2.42,2.47
1479,4,14,7.507,2.55,3.748
1480,2,,6.5,2.3,2.1
1481,2,6,6.75,2.55,2.9
1482,3,,11.0,2.55,4.1
1483,2,6,7.76,2.4,3.15
1484,3,10,11.13,2.5,4.0
1485,2,,6.44,2.4,2.47
1486,2,6,5.0,2.3,1.9
1487,2,6,7.1,2.32,3.1
1488,2,6,6.75,2.5,3.3
1489,3,10,10.15,2.55,3.8
1490,3,10,11.92,2.5,4.0
1491,2,6,6.5,2.3,2.46
1492,2,,7.2,2.3,2.35
1493,2,6,7.0,2.3,3.15
1494,4,12,10.95,2.6,3.92
1495,2,6,11.3,2.6,4.1
1496,2,6,8.5,2.6,3.43
1497,3,,9.59,2.49,3.56
1498,3,10,10.86,2.6,3.8
1499,2,6,7.4,2.25,3.2
1500,3,10,11.0,2.6,3.55
1501,2,6,7.4,2.5,3.15
1502,3,10,11.2,2.5,3.9
1503,2,6,6.5,2.35,2.46
1504,2,6,7.24,2.31,3.02
1505,2,6,6.44,2.4,2.47
1506,2,6,7.65,2.36,3.7
1507,2,6,7.25,2.2,3.2
1508,2,6,8.12,2.4,3.2
1509,2,6,7.4,2.4,3.2
1510,3,10,10.4,2.6,3.5
1511,2,6,7.35,2.4,3.3
1512,3,10,12.06,2.5,4.0
1513,2,,7.1,2.15,3.1
1514,2,6,7.45,2.3,3.45
1515,2,6,7.14,2.2,3.05
1516,2,6,7.25,2.3,3.85
1517,2,,6.61,2.21,2.8
1518,2,6,7.4,2.3,3.5
1519,2,,6.44,2.21,3.11
1520,2,6,6.95,2.36,3.15
1521,2,6,7.45,2.35,3.2
1522,3,10,11.0,2.55,4.1
1523,2,6,7.4,2.27,3.54
1524,2,6,7.2,2.35,3.2
1525,2,6,6.5,2.27,2.3
1526,2,6,7.55,2.3,3.4
1527,2,6,7.4,2.2,3.2
1528,2,6,7.36,2.45,3.61
1529,2,6,7.1,2.2,2.5
1530,2,6,7.0,2.3,2.97
1531,2,6,8.05,2.35,3.15
1532,2,6,7.35,2.35,3.0
1533,3,10,10.9,2.6,3.67
1534,3,,7.79,2.6,3.45
1535,2,6,7.5,2.3,3.1
1536,2,,4.9,2.4,1.9
1537,2,6,6.87,2.44,3.0
1538,2,6,7.4,2.32,3.2
1539,2,4,4.45,1.95,2.65
1540,2,6,7.58,2.42,3.6
1541,2,6,7.2,2.2,2.8
1542,2,,5.01,2.0,2.65
1543,2,6,7.6,2.3,2.9
1544,2,4,5.8,2.05,2.45
1545,2,6,7.04,2.4,2.51
1546,3,10,10.8,2.6,2.9
1547,2,6,7.25,2.25,2.6
1548,2,6,5.95,2.35,3.48
1549,3,10,10.5,2.6,3.65
1550,2,,6.84,2.4,2.6
1551,3,10,12.21,2.6,4.1
1552,2,6,6.97,2.4,3.15
